lexical_unit,pos,gloss,variant,audio_file,example_sentence,translation
wudugurlaman,Adjective,"little, short, a little bit/while, small stick",,wudugurlaman.wav,"Wudugurlaman yumin wurr-mendiya na yanima, yanima-ga dana marraj.","They got a little stick like this, like this one."
yibirrba,Noun,"old, old-time",,,yibirrba-mulu marlarluga yawudjingin lagla-ya.,"The oldies, the old men, are in camp."
wemiyi-,Verb,"to vomit",,,gorningmarriya na wemiyirriya,"He vomited, he vomited [showing synonyms]"
waw,Interjection,hey!,,,,
yimum,Noun,"eye, sweetheart",,yimum.wav,Yilamagan yimum yiwun-dagbarlan.,Maybe you have sweethearts.
mabujbuj,Noun,"small bush `plum', has spikes",,,mabujbuj yirlarlan ya-yu,It's in the bush.
wid(ba),Coverb,"carry on shoulder",,wird.wav,"Yawe, yinebel-ya wid wurr-gandiya.","Yes, they carried them on their shoulders/necks."
ged,Coverb,"eat",gedba,,gedba yirr-ngundiyam yiwarli-warra,"we ate (with hands?), with fingers"
gamuyu,Noun,willy willy,,,gamuyu gud gaju-rri wurrugu wiya-ya wujirrima,A whirlwind arose to them in the water.
jarrarrma,Coverb,"fall, streak of comet or star",,,jarrarrma yanja.,A comet falls.
Yibinyjagba,Noun,"Ellen Manbulloo, name",,,,
bilawa,Noun,red ant,,,Bilawa ya-nyangan yilb  Mog yawurr-men layin,
dawma,Coverb,"across",,dawuma.wav,Dawma ya-jingin.,He sat down with his leg across.
juny,Coverb,"to go down, of celestial",junyma,juynma_sentence_juyn-yanja.wav,Juyn yanja.,The sun is going down.
gija,Noun,big spear,,,SW does not know.,
gardaj,Coverb,"scratch, incise",,,Dan.ganung-ba jumba nuwun-ga gardajgardaj-gunba dan.ganu,"You take those behind from scratching, these."
dolben,Adjective,"fat, corpulent",,,mejern dolben,fat belly
yingune,Noun,sweat,,,"yi-ngune mogba ya-jingin jilngid-garang, jilngid-ji ya-bun","with underarm sweat, with sweat, he's sweating"
Ngananyin,Noun,personal name,,,,
werle,Noun,lazy bugger,,werle.wav,,
-wu,Noun,"DATIVE suffix",--gu,,nganjagi wurrugu gejgej nga-wun-gindi bega-wu,I went and asked them for tobacco.
jalirra,Coverb,"meet",,,"jalirra yanggi go, gej gindi mayin -gu layin-gu, ngani-won layin marluga","He went to ask for him, give me meat. [go to another and ask]"
burrburrb,Coverb,"flesh crawl",,,,
yungga,Verb,subject marker,,,,
balyag(ba),Coverb,"touch",,balyag_sentence_balyag-wonggo-nga-men.wav,Balyag wonggo nga-men.,I won't touch it.
golododog,Noun,dove,,,,
yigurliyn,Noun,"dirty water, early flood",,,yigulin,
babu,Noun,round stone,,,,
warrija,Noun,crocodile,,,"nganayu, warrija-yi yingangun.men wurr-yanarriya","I don't want to, crocs might get me, they said."
gurlma-,Verb,"to lose, forget, be minus",,638493603475598971A LexExampleSentence.wav,nga-gurlmarri wumunburra wujaba-ya.,S/he forgot.
majawalanggin,Noun,"dry grass, burnt grass",,,majawalanggin wuja-wunba,burned grass from the fire
mern,Coverb,"to affix to, as spear point, put on top, end (as hat)",,mern_sentence_mern-ya-gin-benegin-garnin-ya.wav,Mern ya-gin benegin garnin-ya.,He affixes the wax on the spear.
nuwun-,PROPRE,"2nd plural/[3rd Plural]",,,,
jornogba-,Verb,"to fill up, eating",,jornogba_sentence_jornogbarri-and-dulgin-jornogbarri.wav,Jornogbarri and dulgin jornogbarri.,He got full up (of food) and filled up with pee.
gurubardu,Noun,nullanulla,,,,
garnawuna,Noun,lancewood tree,,,"ya-gajun garnawunin la King River, nganjigbe wirrig garnawunin wurr-mendiya bagbag wurr-marnburriya ngamandagan, guyanggin","Lancewood stands at the King River, I will go tomorrow; they used to break off lancewood, the made woomeras"
jibulug,Coverb,"have eyes shut",,,"yilamagan muludja jibulug ya-jingin, ya-jaweyin","Maybe M. has eyes closed, she is tired."
marlugbarr,Noun,didgeridoo,,marlugbarr.wav,Dijongma ya-gin marlugbarr.,He is playing the digeridoo.
wuden,Noun,wing,,,wuden-garang,having wings; airplane
yimidani,Noun,subsection term,,,,
yan.garlin,Noun,"tree sp., `stringybark'",,,,
daman,Noun,"armband, bangle",,daman.wav,,
bambidi,Noun,turtle,,,,
bumburrijid,Coverb,kneel,,,,
bulbulban,Adjective,woolly,,bulbulman_sentence_gangman-yibulbulman.wav,Gangman yibulbulman.,The kangaroo is hairy.
gardarr(ma),Noun,dawn,,gardarr_sentence_gardarr-ya-bun.wav,Gardarr ya-bun.,It is dawning.
banggin,Noun,back,,banggin_sentence_banggin-ngajngajba-nga-jingin.wav,Banggin ngajngajba nga-jingin.,I have back pain.
biling,Coverb,open eye,bilingma,,"Yimum biling yawurr-men, wonggo mugurn yawud-jingin","Their eyes are open, they are not sleeping."
"yumbu, yumbuyi-",Verb,"sit, be; take, carry",past tense yumburri-,,gudani yawurr-yumbuyin,Where is she (sitting)?
dam-bari,Qualitative,perforated,,,yigulan Dam-bari yayungga,having a hole in his ears
gadag,Noun,snail,,,,
walngin,Noun,fly,,,,
nim,Noun,"yi-nim `anus', ma-",,,ya-yu gonjo-ya marnim gunga gadi langgan-ya,"It's in the ground, the lily, in the billabong"
yibulagbulan,Noun,liar,,,yibulagbulan,
garlambang,Noun,headband,,,,
wangguwarlawun,Adjective,"from the east, eastern",,,,
barrbarrma,Coverb,"do a type of dance",,barrbarrma.wav,,
burrgburrg-bari,Adjective,"piebald, spotted",,burrgburrg-bari.wav,,
wujaban,Noun,house,,wujaban_sentence_wujaba-ya-wurr-gindiya-warljub.wav,Wujaba-ya wurr-gindiya warljub.,They put it inside the house.
wurrb,Coverb,"duck head",,,"wurrb ye-wen yibam, ngarlaga.",He puts his head down.
bigirrijba,Coverb,"scrub, clean;",,,Bigirrijba yirr-mendiya wiya-ya,We scrubbed it in the water.
yayigu-,PROPRE,"[Pronoun] prefix [Irrealis]",,,,
yinguwana,Noun,initiated,,,"[initiated, someone who has been through ceremony, BH yd project]",
morrolng,Adjective,green,,,"wolon marraj, like a kind of grass SW",
led,Coverb,"to look at",ledba,ledba_sentence_ledba-ledba-na.wav,Ledba ledba na.,You look.
jumba,Adverb,"behind",,jumba_sentence_jumba-wa.wav,Jumba-wa.,From behind.
wardangba,Coverb,binjy top,,,Mugurn ya-gurrgba wardangba.,He's lying belly up.
namulu,Noun,"white ant, termite",,,,
menyin-garang,Adjective,aggressive,,meyn-garang_sentence_meyn-garang-yanyangan-layin-gu-ngan-buwa.wav,Meyn-garang yanyangan layin-gu ngan-buwa.,"Angry, he comes for meat, and may hit me."
yidara,Noun,kidney,,yidarra.wav,Nana yidara yiwarringun.,Bad kidney.
yanimayi,Adjective,"thus, like that",,,,
wardag,Coverb,"shake head, `no'",wardagwardag,,wardagwardag wurr-yanarri wurrugu wurren.,Children shook head no.
Monborrom,Noun,old Willeroo,,,,
janginyina,Noun,"lightning, gecko",,janginyina_sentence_wuduwudu-wunba-janginyina-dow-ya-bun-worrb-ye-wen-wan.wav,Wuduwudu-wunba janginyina dow ya-bun worrb ye-wen-wan.,"It starts off little, lightning strikes and then (the rain) falls heavily."
giwonggiwong,Adverb,"go the wrong way, cross-wise",,giwonggiwong.wav,wonggo yanja giwonggiwong wardirrg,A girl doesn't go `across' [the wrong way].
barangan,Noun,"gap, rift",,,"barangan ya-yu wuduwudu muragin ya-yu, legelege yayungga yumin",
bulawula,Noun,"drawing, (cave) painting",,,,
jerrin,Noun,ground oven,,jerrin_sentence_jerrin-ngoy-wurr-mendiya.wav,Jerrin ngoy wurr-mendiya.,They scooped out the ground oven.
wardabarrb,Coverb,"start up",,,Wardabarrrb yanja,He starts up [gets angry]
jangaragngarag,Coverb,"stretch",,,"jangaragngaragba ya-jingin na, mugurn-gunba","He stretches, from sleep."
ngana-,Verb,"let",,,mugurn ngana-jingin yanimayi,Let him sleep like that.
yingengemani,Noun,"spirit, child spirit",,,yingengemani yawudjangan lurrbu,spirit comes back (spirit of dead)
ngarlbangarlbang,Noun,"bubbles, foam, soapy water",,638546329207742733A LexExampleSentence.wav,"ngarlbangngarlbang ya-yu wiyan, ya-nyangan-ga jarrang",It bumps up and makes noise again a tree in the water.
malmalmaj,Noun,native tobacco,,,,
wulujujun,Noun,end of Wet,,,,
nyagiwurrg,Noun,sulky bugger,,,,
nyinyiwa,Coverb,"sprinkle",,nyinyiwa.wav,,It's drizzling
bag-bari,Qualitative,broken,,,yarlgud bag-bari,broken calf [leg]
wudirrgiban,Adjective,car,,,Garrarrama yanja yidirrgiban,The car goes around.
dilygun,Noun,possum,,,,
mogorlmawug,Noun,"kind of sprite, round head",,638546161975145669A LexExampleSentence.wav,see selection 0080 of 2023; also BH kiva song,ya-gan ginan ya-gan go lolorrma ya-ngun mogorl
borri-rlan,Adjective,towards speaker,,borri-rlan_sentence_yawudjangan-borri-rlan.wav,Yawudjangan borri-rlan.,They are coming this way.
garngurrungu,Noun,`soap tree',,,,
dalyarra,Noun,"curse, evil eye (against wh. covering worn to protect pregnant woman from malignant gaze)",,,"Dalyarra-yi yanggunburr-bun bangbun,","They hit women with `dalyarra', don't go, because of dalyarra."
minyardin,Noun,charcoal,,minyardin_sentence_minyardin-ya-wudban-ga.wav,minyardin ya-ban.ga,when the charcoal is burning
jululma,Coverb,"spill",,,"hat barrwarlan gi, jululma wurr-wudbarriya go wumunburra jarrgayl","put the hat down, they threw it to him, full up with money"
demdeman,Noun,locust,,,,
jegban,Noun,"turkey, bustard",,,"jegban wudjangandiya wiya-warr, deb wurr-bundiya","The turkeys came to the water, they killed them"
bandalan,Noun,sugar leaf or lerb,,,,
burrgagba,Coverb,"jump [Inclusive]",,,burrgagba wurr-wendi wiya-ya,They jumped in the water.
gerrejban,Coverb,"devil, mernden",,,,
wumunburra,Noun,"money, stone",wumunburra,wu-munburra.wav,"Wurr-gindiya wu-munburra, jerrin-ya.","They put stones, in the ground oven."
wu-diwulg,Noun,"index finger",,,,
milirri,Noun,"yamstick, digging stick",,milirri.wav,Milirri-warra wurranggiya mululurru jodba,"With a digging stick, the old ladies went supporting (themselves)"
yimirr,Noun,forehead,,,,
bardarda,Noun,"baby, child, [person]",,bardarda.wav,Danani gungan.gin bardarda.,This is her baby.
lobarloba,Noun,"butcher bird",,638495281323879358A LexExampleSentence.wav,,"buther bird singing out, cries, he reminds us singing, not just one."
minyjiliwirrij,Noun,diver duck,,638545447666506293A LexExampleSentence.wav,barrun-gu jarrambu yanja minyjiliwirrij,The diver duck goes looking for fish in the water.
najin.ganung,Noun,"exploring, person, looking around",najin.ganud,638546274673875709A LexExampleSentence.wav,najin.ganung yawurrangga warawad  gejgej mala yanggunburr-gin,Those people go looking around  and ask them
marlibi,Noun,mature woman,,638545326318707223A LexExampleSentence.wav,"Wonggo wardirrg, marlibi na nga-jingindi","I was not a girl, I was a woman now."
bugarli,Noun,cross-cousin,bugarli-rlang dy.,,Gin.gina nganinggin bugarli,Gin.gina [was] my bugarli
Yiwalma,Noun,Yiwalma,,,,
werrba-,Verb,"have a spell, rest",,werrba_sentence_nga-werrbarri.wav,Nga-werrbarri.,I rested.
wud-,PROPRE,"[3rd Plural]",,,,
jogorrog,Coverb,"look up",jogorrogba,,jogorrogba narri yibiyan,You are looking at....
jarrgayl,Coverb,"right full up",,jarrgarl.wav,Jarrgayl ni ngunung.,Bring it to me full.
geyerdog,Noun,"type of bird, brown honeyeater",,,,
wuduju,Noun,"love magic",,,,
wolman,Adjective,"good walker, one who goes `meself'",,,yiwolman lurruja yanja,"""good walker"", quick"
janjanin,Adjective,"light shade, WU-, yarlarrg wagbawun",,,"yi-janjanin muragin yarlarrg wagbawun, wonggo ngayi-gurrgba nan-ya.","Light shade, no branches"
warljub,Adjective,inside,warljuba,warljub_sentence_wurr-gandiya-warljub-wujaba-warr.wav,Wurr-gandiya warljub wujaba-warr.,They took it inside the house.
mila,Noun,"woomera hook, fishhook",,mila.wav,nana mila garnin-gu wurr-mendiya marlarluga-yi,"That hook for spear, the old men got it."
wabirlmagun,Coverb,"to spear or shoot taking off skin only, with bu-",,,,
yiwangayn,Noun,armpit,,yiwangayn.wav,Yibiyan-yi yawurr-gan yiwangayn yijili.,Men have hair in their armpits.
yaramarrgu,Noun,ground sugarbag,,,,
garab,Noun,spider,,,,
dawulya,Coverb,"crack, hit on head, break pate",,,"dawulya ya-bun, Dawulya bundi ngarlaga-ya","He hit him on the head, he hit him on the skull."
wijirrma,Coverb,"whirl, `go like cyclone'",,,gamuyu gud gaju-rri wurrugu wiya-ya wujirrma,A cyclone got up near them in the water.
juju:::y,Interjection,good job that!,,,,
nyarrb,Coverb,"return ([Inclusive] context, of making noise [Inclusive] grass or leaves)",,,wonggo nunudjangan nyarrbnyarrb mala,don't come rustling
barlagagarna,Noun,grey-crowned babbler,,,,
jelin,Noun,crayfish,,638494384952509084A LexExampleSentence.wav,,they got crawfish [see jelmerrin]
lig,Adverb,whole lot,,638495245729804920A LexExampleSentence.wav,wurr-ngundiyaaa jornog lig wurr-wurr-gurrgbarriya mugurnmugurn,
yarralman,Adjective,unkempt,,,yarralman nana marluga,that old man is unkempt
weyi(ma),Coverb,"lift",,weyi_sentence_wonggo-wurr-gandiya-wey-wey.wav,Wonggo wurr-gandiya weyi weyi.,They didn't lift it up.
bowoj,Coverb,"head out, visible",bowojba,,,
weliyn,Noun,place on Willeroo,,,,
warnadudun,Noun,"big storm, big wind",,warnadudun.wav,,
gerrngmarnan,Noun,crying bugger,,,,
jily,Coverb,"wring out",jiylma,,jiyljiyl nga-mendiya barlawarlarr nga-gindiya,I wrung them out and spread them out.
bandarran,Noun,"hole, lair (of porcupine, bluetongue, snake)",,,,
garrarnawun,Noun,rock country,,,,
ngarlwog,Noun,unid. tucker,,638546330211211648A LexExampleSentence.wav,ngarlwog cucumber marraj,"ngarlwog, like a cucumber."
wirrig-gari,Adjective,tomorrow night,,,,
birrba,Adjective,"old, a few years ago (yibirrba)",,,,
yindang,Coverb,"remind",,,yindang ngang-mendi mayin-gu nga-newerrmarri,"I reminded you for tucker, I was hungry."
yi-,Verb,"[Irrealis]",,,,
moynma,Coverb,"worry for",,,marluga-gari moynma jingindi gunga,He was worrying about the other old man.
bajawinyin,Adjective,"if, suppose that",,,,
gid,Adjective,"narrow (of dress, container, bottle etc.)",,,"wujaban wu-gid , yiwarlng wu-gid","The house is small, the dress is small."
nonggo,Conjunction,"too, [Inclusive] addition to",,,nonggo yininyja damirlan biji nyanga nonggo ya lurrbu,
gilidji,Noun,sandstone,,,,
gambarrngan,Noun,"shark, sawfish",,,,
yimiyan,Adjective,same one,,,,
mardbiyn,Noun,"barramundi",,,,
nyobo,Noun,mouse,,,,
lurruja,Adjective,"quickly",,lurruja.wav,Lurruja yanja.,He is going quickly.
ladba-,Verb,"get skinny",,,"ladbarri, yayi-yerreba lad-bari, wonggo yanja wurrugu gejgej mala ngawun, ya-jingin legeweng, yerreba ya-yu yinyeyn-gu gunga","He got sknny, him shamed for his body"
yerrel,Noun,armband,,yerrel.wav,Wurr-mendiya marrbmarrb wurr-meyirriya,They got it and tied themselves up.
jurrbu,Coverb,"go down, descend",,,"jurrbu-wu wendi wiyaya-ya, bow wendi",He dived down in the water.
Dibulumawug,Noun,personal name,,,,
me-,Verb,"get",,me_sentence_yilgbayi-ngong-men-nungguru-wey.wav,"Yilgbayi, ngong-men nungguru wey.","It's OK, I lift you up with my hand."
garranyji-,Verb,"to grow",,,,
giyarru,Noun,comet,,,mariling yanja,"The comet goes, the star."
nyerrengma-wujban,Noun,"noisy person, noise-maker",,,"Nyerrengmawujban wunggunburr-gandiya yirrgulu-warr, wurranggiya bornborn gagaygba","They took the noisy ones to the river, they bogeyed shouting out."
gornbun,Noun,"hawk",,,,
bangbun,Noun,woman,,,Gandi-wan gunya nana bangbun gabarri Garnayanda,"And he took away from him that woman too, Garnayanda"
Mardbinyang,Noun,place,,,,
dardu,Noun,"promise, sweetheart",,,,
benyma,Coverb,"swell up, expand",,,,
-yi,Verb,"[Reflexive-reciprocal]",,,,
deng,Coverb,"drop with",,,,
girr,Coverb,"to know as, recognize as, be familiar with s.o.'s ways, remember, think about/of",,girr_sentence_girr-ngang-ga-yan.wav,Girr ngang-ga-yan ngang-woyan lurrbuyi,I'll remember you (to give it back to you).
dewman,Adjective,white,,,barnjan yidewman,(white) ochre is white.
yijarndayurrngu,Adjective,"bewhiskered, hairy",,,,
jarrulu,Noun,"antbed, large size",,,,
gelegeleman,Adjective,"frightening, just going past",,,gelegeleman ya,
jamam,Coverb,full,,jamam.wav,Yibumbu jamam ni ngunung.,Bring the bucket to me full
yijeme,Noun,"hearing, ear",,yijeme_sentence_yijeme-yi-warrigun.wav,yijeme yi-warrigun,"deaf, hard of hearing (also yigulan yi-warrigun)"
gilinymumin,Noun,wild fruit `like cherry',,,,
dirrginin,Noun,"narrow, tight (e.g. cleft, rock)",,dirrginin.wav,,
jarrngma-,Verb,"defecate",,,"jarrngmarri, dana nendo-wu ngun","It shat, this is horse shit."
jangagba,Coverb,"yawn, look up",,,"jangagba ya-jingin yijaga, miwin-yi ya-bun, ya-jaweyin.","She is yawning, sleep hits her, she is tired."
buju-,Verb,"to dig",,buju_sentence_wurr-bujurriya-ngoy-wurr-mendiya-yibumbu-warra-ngoy-ngoy.wav,"Wurr-bujurriya, ngoy wurr-mendiya yibumbu-warra, ngoy ngoy.","They dug, they scooped with a billy, scoop scoop."
bulmarrab,Coverb,"float",,bulmarrab.wav,Bulmarrab yanja barrunin.,The fish is floating.
larlbin,Adjective,clean,,,"larlb-bari yumin, larlb yanja","split tree,  it splits"
ngu-,Verb,"eat",,ngu_sentence_wonggo-yi-nga-ngun-mayin.wav,Wonggo yi-nga-ngun mayin.,I can't eat.
yigarrwa,Noun,"father's sister's daughter,,,,
murungenngen,Noun,"small tree",,638546270590473470A LexExampleSentence.wav,murungenngen yumin,murungenngen tree
garragu-rlang,Noun,"cousins",,,,
wuduwulg,Noun,index finger,,,,
ngalamiynmiyn,Noun,bat,,,2:23 nanawunyin ngundiya bandalan  Elsie: 2:25 ngalaminmin-yi ngundiya gabarri…,That one ate sugar leaf.  Elsie: Bat ate it too.
gorno-,Verb,"fill with liquid",,,yi-gornorriya yibumbu-yu,we filled up the billycan [of honey]
Yiwarlarlay,Noun,place,,,,
lirralirraga,Noun,"rainbird, masked plover",,,,
mulugurnden,Noun,crayfish,,638546211260398494A LexExampleSentence.wav,mulugurnden ngamandagan jelin,yijad mordorl yijad; jelin bulmarrab yanja wiya-ya; mulugurden ya-yu wolo-ya
Yerrelwunba,Noun,name,,,,
nganggileni,Noun,corroboree,,,BH Kiva songs,wurrguru-wu warranggin `song for dead spirit'; arcane
gornjuluba,Noun,big striped lizard,,,,
yingulgban,Adjective,"comic, funny",,yingulgban.wav,"Yilamagan yingulgban yi-jingin go, ngamanda-warda yimburr-golorri.","Maybe you're funny to him, why did they laugh at you?"
gelegele(wi),Adverb,"right past (not hitting), beside, on the side of",,gelegele.wav,Gelegelewi yum-nya ya-jingin.,He's beside the tree.
ngala,Conjunction,"how about, and, and how!",,ngala_sentence_ngala-yinyeng-wonggo-yini-jaga.wav,Ngala yinyeng wonggo yini-jaga.,"What about you, can't you go?"
jornogban,Adjective,full-up one,,,,
bardab,Coverb,"look around",,,bardab narri yanima galunglan,"He looked around, up like this."
menyin-wujban,Noun,"pugnacious, dangerous",,,,
jabalawarna,Noun,large flat stone such as used for food preparation,,jabalawarna.wav,"Wudurrudban wumunburra wurr-mendiya, jabalawarna-wan wurr-bega julbung wurr-mendiya, nanba-wan ngorrma wurr-mendiya","They got a round stone, and put it (on) the flat (grinding) stone., they pounded it and then they"
daraw(ma),Coverb,"across",,)darawma.wav,"Wire wurr-gindiya, yumin wu-linyjerriya wurr-gindiya daraw daraw.","They put a wire, they cut the tree, they put it across."
didin,Noun,louse,,,"didin yi-dagbarlan yijili-ya, darlg yawurr-bun","We have lice in our hair, they pop them."
den,Coverb,"fall",,,Den weny-ga galul nga-jingindi go la mejern,After she fell I sat up on her stomach.
narr,Coverb,"shave",narrma,narr_sentence_narr-wurr-bundiya-wumunburra.wav,,They shaved it on the rock.
ali,Interrogative,"tag question, is it so?",,,yin.gun-bundiya mernde-yi yin.gun-bundiya dan.ganung-ba galul wunggun-bundiya julugjuluyin   Ale?,"White men shot us, they shot us., they shot us from here, they shot us up along the hills.  Is that so?"
Bradshaw,Noun,"Bradshaw, regional station",,,,
